id	meshy_fbx	meshy_albedo	fbx_bytes	albedo_4k_bytes	albedo_1024_bytes
hunters-skillet	Meshy_AI_skillet_meat_mushroom_0917214500_texture.fbx	Meshy_AI_skillet_meat_mushroom_0917214500_texture.png	23871820	15623934	2298907
herb-roasted-venison	Meshy_AI_roast_platter_mushroo_0917214605_texture.fbx	Meshy_AI_roast_platter_mushroo_0917214605_texture.png	23288172	15806021	2325376
honeyed-mushrooms	Meshy_AI_honey_mushroom_platte_0917214631_texture.fbx	Meshy_AI_honey_mushroom_platte_0917214631_texture.png	24075676	16701543	2469427
bear-mushroom-stew	Meshy_AI_stew_glowing_mushroom_0917214654_texture.fbx	Meshy_AI_stew_glowing_mushroom_0917214654_texture.png	22730252	15544120	2309275
forest-root-medley	Meshy_AI_roasted_wedges_thistl_0917214715_texture.fbx	Meshy_AI_roasted_wedges_thistl_0917214715_texture.png	23453068	16017836	2494354
sausage-turnip-bake	Meshy_AI_sausage_oval_dish_2k_0917214802_texture.fbx	Meshy_AI_sausage_oval_dish_2k_0917214802_texture.png	23157852	15438005	2355827
bogroot-mash	Meshy_AI_stuffed_mushroom_cake_0917214841_texture.fbx	Meshy_AI_stuffed_mushroom_cake_0917214841_texture.png	23752412	16680659	2440845
serpent-steak	Meshy_AI_salmon_steaks_2k_0917214902_texture.fbx	Meshy_AI_salmon_steaks_2k_0917214902_texture.png	22562812	15101049	2258203
fishermans-chowder	Meshy_AI_fish_stew_bowl_2k_0917214930_texture.fbx	Meshy_AI_fish_stew_bowl_2k_0917214930_texture.png	22641836	15849750	2358040
pickled-catch	Meshy_AI_fish_barrel_kelp_2k_0917214954_texture.fbx	Meshy_AI_fish_barrel_kelp_2k_0917214954_texture.png	24015756	15870404	2305150
wolf-roast	Meshy_AI_roast_ham_onion_platt_0917215026_texture.fbx	Meshy_AI_roast_ham_onion_platt_0917215026_texture.png	25778956	17616113	2580466
frostberry-preserve	Meshy_AI_frosted_blueberry_des_0917215055_texture.fbx	Meshy_AI_frosted_blueberry_des_0917215055_texture.png	27330588	19235153	2699823
lox-rib-roast	Meshy_AI_cloudberry_rib_rack_2_0917215119_texture.fbx	Meshy_AI_cloudberry_rib_rack_2_0917215119_texture.png	25144508	17131665	2618350
barley-root-bake	Meshy_AI_cloudberry_meatloaf_2_0917215200_texture.fbx	Meshy_AI_cloudberry_meatloaf_2_0917215200_texture.png	26851340	18531830	2692986
sap-glazed-garden-medley	Meshy_AI_roasted_onion_greens__0917215224_texture.fbx	Meshy_AI_roasted_onion_greens__0917215224_texture.png	24617548	16854354	2446408
magecap-tart	Meshy_AI_purple_mushroom_pie_2_0917215247_texture.fbx	Meshy_AI_purple_mushroom_pie_2_0917215247_texture.png	25662124	17978300	2790966
bonemaw-fiddlehead-roast	Meshy_AI_monster_fish_platter__0917215313_texture.fbx	Meshy_AI_monster_fish_platter__0917215313_texture.png	28422540	19616066	2684814
hunters-hearth-board	Meshy_AI_venison_roast_skillet_0917215741_texture.fbx	Meshy_AI_venison_roast_skillet_0917215741_texture.png	26814092	17975457	2669136
honeyed-foragers-table	Meshy_AI_honey_mushroom_raspbe_0917215807_texture.fbx	Meshy_AI_honey_mushroom_raspbe_0917215807_texture.png	25713804	17034577	2496173
foresters-game-supper	Meshy_AI_stew_jerky_antler_4k_0917220808_texture.fbx	Meshy_AI_stew_jerky_antler_4k_0917220808_texture.png	25371468	16862307	2463677
foragers-breakfast-board	Meshy_AI_root_veg_stew_toast_4_0917215913_texture.fbx	Meshy_AI_root_veg_stew_toast_4_0917215913_texture.png	24624636	16528966	2525909
cryptkeepers-supper	Meshy_AI_sausage_skewer_cauldr_0917221019_texture.fbx	Meshy_AI_sausage_skewer_cauldr_0917221019_texture.png	26008892	17722561	2538507
bog-harvesters-table	Meshy_AI_mushroom_cakes_soup_m_0917220959_texture.fbx	Meshy_AI_mushroom_cakes_soup_m_0917220959_texture.png	26356460	17478781	2751912
longship-leviathan-spread	Meshy_AI_viking_ship_fish_plat_0917221043_texture.fbx	Meshy_AI_viking_ship_fish_plat_0917221043_texture.png	26115964	17856738	2685749
deckhands-provision	Meshy_AI_fish_barrel_cranberry_0917221132_texture.fbx	Meshy_AI_fish_barrel_cranberry_0917221132_texture.png	9113132	5955128	742217
wolf-kings-carving-board	Meshy_AI_meat_jerky_skewer_pla_0917221147_texture.fbx	Meshy_AI_meat_jerky_skewer_pla_0917221147_texture.png	28599980	19042417	2667619
peak-runners-supper	Meshy_AI_frosted_berry_stew_pl_0917221307_texture.fbx	Meshy_AI_frosted_berry_stew_pl_0917221307_texture.png	29842652	20437233	2919691
jarls-lox-table	Meshy_AI_salmon_rib_rollup_4k_0917221243_texture.fbx	Meshy_AI_salmon_rib_rollup_4k_0917221243_texture.png	27051052	18523904	2764397
golden-harvest-board	Meshy_AI_bread_onion_sausage_4_0917221507_texture.fbx	Meshy_AI_bread_onion_sausage_4_0917221507_texture.png	27953692	18714408	2807889
queens-hunting-table	Meshy_AI_hare_feast_centerpiec_0917221523_texture.fbx	Meshy_AI_hare_feast_centerpiec_0917221523_texture.png	28479916	19009297	2556197
mistwalkers-garden-table	Meshy_AI_porridge_onion_cake_4_0917221220_texture.fbx	Meshy_AI_porridge_onion_cake_4_0917221220_texture.png	27578108	18472909	2620501
emberlords-carving-table	Meshy_AI_muspelheim_rib_feast__0917221447_texture.fbx	Meshy_AI_muspelheim_rib_feast__0917221447_texture.png	30323564	20307447	2723006
cinder-runners-spread	Meshy_AI_muspelheim_feast_plat_0917221423_texture.fbx	Meshy_AI_muspelheim_feast_plat_0917221423_texture.png	30094636	20117101	2774911
hidden-hills-sideboard	Meshy_AI_bread_egg_crystal_pla_0917221334_texture.fbx	Meshy_AI_bread_egg_crystal_pla_0917221334_texture.png	26298732	17517704	2706676
cinder-sideboard	Meshy_AI_fiery_condiment_trio__0917221358_texture.fbx	Meshy_AI_fiery_condiment_trio__0917221358_texture.png	26693980	17468749	2538817
